"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.315,0.755,98.930,0.0,0.0,0.0,782.0,212.0,53600278.0,231387.0,103594457.0,425565.0,9870307328.0,412139520.0,4879466496.0,10161385472.0,0.0,12288.0
0.315,0.755,98.867,0.0,0.0,0.063,762.0,0.0,51587830.0,199129.0,102994348.0,399135.0,9924808704.0,412139520.0,4879466496.0,10106884096.0,0.0,0.0
0.378,0.692,98.867,0.0,0.0,0.063,454.0,0.0,53789537.0,208437.0,102982724.0,400658.0,9972916224.0,412139520.0,4879466496.0,10058776576.0,0.0,0.0
0.315,0.693,98.992,0.0,0.0,0.0,496.0,0.0,51277958.0,198466.0,102345160.0,462749.0,10023370752.0,412139520.0,4879466496.0,10008322048.0,0.0,0.0
0.377,0.691,98.806,0.0,0.0,0.126,910.0,106.0,53105320.0,272504.0,103512708.0,469064.0,10078154752.0,412139520.0,4879478784.0,9953525760.0,0.0,0.0
0.315,0.693,98.866,0.126,0.0,0.0,1246.0,106.0,51810495.0,200039.0,101663365.0,395792.0,10130382848.0,412139520.0,4879478784.0,9901297664.0,0.0,16384.0
0.315,0.693,98.929,0.0,0.0,0.063,320.0,0.0,54276865.0,209417.0,105399560.0,408435.0,10180956160.0,412139520.0,4879491072.0,9850712064.0,0.0,8192.0
0.315,0.755,98.867,0.0,0.0,0.063,436.0,0.0,51362063.0,200274.0,101165058.0,396804.0,10235334656.0,412139520.0,4879638528.0,9796186112.0,0.0,0.0
0.441,0.693,98.804,0.0,0.0,0.063,868.0,106.0,53178487.0,206065.0,104105932.0,405356.0,10296193024.0,412139520.0,4879638528.0,9735327744.0,0.0,0.0
0.315,0.567,99.054,0.0,0.0,0.063,256.0,68.0,53318935.0,205869.0,102927047.0,399743.0,10355040256.0,412139520.0,4879638528.0,9676480512.0,0.0,0.0
0.566,0.692,98.678,0.0,0.0,0.063,362.0,106.0,52139153.0,206580.0,103691237.0,418528.0,10373820416.0,412139520.0,4879638528.0,9657700352.0,0.0,0.0
0.441,0.630,98.740,0.126,0.0,0.063,448.0,0.0,53839616.0,226919.0,104175496.0,437120.0,10389258240.0,412139520.0,4879638528.0,9642262528.0,0.0,12288.0
0.378,0.630,98.929,0.0,0.0,0.063,570.0,106.0,51539514.0,207247.0,102642893.0,410931.0,10412294144.0,412139520.0,4879638528.0,9619226624.0,0.0,4096.0
0.377,0.377,99.183,0.0,0.0,0.063,192.0,0.0,45279926.0,180168.0,72846466.0,361879.0,10431578112.0,412139520.0,4879556608.0,9600024576.0,0.0,0.0
0.313,0.439,99.185,0.0,0.0,0.063,244.0,0.0,18363866.0,103033.0,37162397.0,190687.0,10436194304.0,412139520.0,4879474688.0,9595490304.0,0.0,0.0
0.188,0.313,99.498,0.0,0.0,0.0,542.0,174.0,18026958.0,71017.0,33777876.0,137733.0,10436288512.0,412139520.0,4879474688.0,9595396096.0,0.0,0.0
0.313,0.251,99.373,0.0,0.0,0.063,646.0,0.0,16399964.0,64810.0,34514758.0,140997.0,10435891200.0,412139520.0,4879474688.0,9595793408.0,0.0,0.0
0.250,0.188,99.499,0.063,0.0,0.0,362.0,106.0,9323176.0,39483.0,9484935.0,85249.0,10436890624.0,412139520.0,4879400960.0,9594867712.0,0.0,12288.0
0.188,0.188,99.562,0.063,0.0,0.0,128.0,0.0,72616.0,68520.0,214529.0,146201.0,10436935680.0,412143616.0,4879482880.0,9594736640.0,0.0,8192.0
0.188,0.125,99.687,0.0,0.0,0.0,206.0,92.0,73038.0,4018.0,84359.0,15802.0,10437492736.0,412143616.0,4879462400.0,9594200064.0,0.0,0.0
