"total cpu usage",,,,,,"net/eth0",,"net/eth1",,"net/total",,"memory usage",,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","recv","send","recv","send","recv","send","used","buff","cach","free","read","writ"
0.188,0.188,99.624,0.0,0.0,0.0,298.0,106.0,137740.0,33585632.0,242207.0,65627203.0,6417301504.0,412123136.0,5179092992.0,13314781184.0,0.0,0.0
0.125,0.251,99.624,0.0,0.0,0.0,214.0,0.0,150976.0,36314910.0,256805.0,66716277.0,6417199104.0,412123136.0,5179105280.0,13314871296.0,0.0,4096.0
0.188,0.125,99.687,0.0,0.0,0.0,128.0,0.0,124992.0,29057844.0,216960.0,57579621.0,6417797120.0,412123136.0,5179105280.0,13314273280.0,0.0,0.0
0.188,0.188,99.624,0.0,0.0,0.0,474.0,106.0,129004.0,31462137.0,257144.0,62294840.0,6418202624.0,412123136.0,5179105280.0,13313867776.0,0.0,0.0
0.125,0.313,99.436,0.063,0.0,0.063,712.0,106.0,133017.0,32054241.0,236332.0,63952808.0,6418264064.0,412123136.0,5179105280.0,13313806336.0,0.0,36864.0
0.188,0.188,99.624,0.0,0.0,0.0,244.0,0.0,137931.0,33345495.0,244671.0,65474368.0,6417784832.0,412123136.0,5179105280.0,13314285568.0,0.0,0.0
0.313,0.251,99.436,0.0,0.0,0.0,192.0,0.0,141373.0,34299780.0,252050.0,67872820.0,6419300352.0,412123136.0,5179105280.0,13312770048.0,0.0,0.0
0.125,0.188,99.686,0.0,0.0,0.0,320.0,0.0,144044.0,34393463.0,253665.0,67437545.0,6418087936.0,412123136.0,5179105280.0,13313982464.0,0.0,4096.0
0.188,0.188,99.561,0.0,0.0,0.063,482.0,304.0,143621.0,34615684.0,254193.0,67886825.0,6418530304.0,412123136.0,5179117568.0,13313527808.0,0.0,0.0
0.377,0.377,98.556,0.691,0.0,0.0,472.0,0.0,151617.0,36112254.0,-131878349.0,-51666542.0,4376121344.0,412123136.0,5179117568.0,15355936768.0,0.0,36864.0
0.063,0.125,99.812,0.0,0.0,0.0,246.0,0.0,111575.0,22436454.0,166345.0,38336173.0,4375187456.0,412123136.0,5179117568.0,15356870656.0,0.0,0.0
0.125,0.125,99.687,0.0,0.0,0.063,180.0,0.0,77742.0,17684028.0,136772.0,34675323.0,4375400448.0,412123136.0,5179133952.0,15356641280.0,0.0,0.0
0.188,0.125,99.687,0.0,0.0,0.0,244.0,0.0,76489.0,17794604.0,136868.0,34821829.0,4376006656.0,412123136.0,5179133952.0,15356035072.0,0.0,0.0
0.063,0.125,99.812,0.0,0.0,0.0,276.0,212.0,79261.0,17938690.0,99283.0,20429708.0,4371820544.0,412123136.0,5179133952.0,15360221184.0,0.0,16384.0
0.125,2.691,97.059,0.125,0.0,0.0,128.0,0.0,19068.0,911936.0,-132503637.0,-112045784.0,2335432704.0,412123136.0,5179092992.0,17396649984.0,0.0,73728.0
